Site,Year,MeanTmean,MeanTmax,MeanTmin,CumPrecip,MeanVPD,MeanTmean_normal,MeanTmax_normal,MeanTmin_normal,MeanVPD_normal,CumPrecip_normal,MeanTmean_z,MeanTmax_z,MeanTmin_z,CumPrecip_z,MeanVPD_z,PC1,PC2,PC3,PC4,PC5
PL,2022,14.5490566037736,20.5660377358491,8.53962264150943,409.04,16.17,10.678775510204082,17.031224489795918,4.327551020408163,13.753632653061224,641.541,2.2463931232169423,2.2008533589238635,2.146661067072631,-1.380108755274471,1.49303672534356,-4.235607160714172,-0.8199232246100417,-0.11559079821175167,0.008545570393667101,-0.07729019643790258
RP,2017,15.2229166666667,22.35,8.0875,33.55,23.7035416666667,12.22730612244898,18.859795918367347,5.5940408163265305,15.809102040816327,712.269,2.652652479155239,3.0525962169594503,1.432330501448119,-1.7986281052947402,2.6187589214662963,-4.8386616714638,-2.0974876901556625,0.6567659013255834,-0.4898054905365582,-0.12684086607437028
RP,2018,17.8564814814815,24.7268518518519,10.9824074074074,288.13,23.9112962962963,12.22730612244898,18.859795918367347,5.5940408163265305,15.809102040816327,712.269,4.984708710069195,5.131434245205107,3.0952669576161997,-1.1239825700350303,2.6876756927133547,-8.031027735125193,-0.9589691268409799,1.4701363766507023,-0.8613088600920584,-0.9624817587621133
RP,2021,17.2713286713287,22.3167832167832,12.227972027972,664.23,18.3763636363636,12.22730612244898,18.859795918367347,5.5940408163265305,15.809102040816327,712.269,4.466548211691785,3.023544211857291,3.810763007938938,-0.1273049605952596,0.8516170273900887,-6.482087848800916,1.3691935870521417,0.35682059297540214,-0.4543971613587545,-0.35957429164511717
RP,2022,16.7436974789916,22.7621848739496,10.7302521008403,877.39,18.8185714285714,12.22730612244898,18.859795918367347,5.5940408163265305,15.809102040816327,712.269,3.9993238613388113,3.4131006337435466,2.9504200962507094,0.4375761859832608,0.9983070593455042,-5.828672274209852,1.0839555552013465,1.2191570094247979,-0.5084610214414331,-0.8022838536477823
SC,2012,16.2488888888889,21.5255555555556,10.9555555555556,69.05,20.6112222222222,8.343714285714286,15.077836734693877,1.6094285714285714,13.02330612244898,421.342,6.357392204147725,5.190384673784512,7.199015355530755,-7.304531035217604,3.173386393122817,-12.49203454126285,-3.1806754708577785,-4.052355421348244,-0.059883855404016195,0.12693173286474413
SC,2017,14.9447916666667,20.43125,9.44479166666667,161.67,18.1494791666667,8.343714285714286,15.077836734693877,1.6094285714285714,13.02330612244898,421.342,5.3086288396198,4.3094736195344865,6.0353234376738705,-5.384119375339281,2.1438465546290986,-10.166664908786277,-1.90592743478968,-3.1215510910137665,-0.04030057149941185,-0.15398514616165548
SC,2018,16.6862068965517,22.0362068965517,11.3301724137931,198.4,20.2740517241379,8.343714285714286,15.077836734693877,1.6094285714285714,13.02330612244898,421.342,6.7090861555415895,5.601456708343154,7.487570445727227,-4.6225482215136395,3.0323763639245325,-12.526807481023205,-1.303286738432063,-2.0774351510699853,0.25091767030818757,-0.13025159112777618
SC,2021,14.6354166666667,19.5125,9.771875,128.46,15.2302083333333,8.343714285714286,15.077836734693877,1.6094285714285714,13.02330612244898,421.342,5.059827476982173,3.5698839985338924,6.287265011248024,-6.072705762993772,0.9229613710650114,-9.620008394341959,-1.4416562464354548,-4.569585096992784,-0.11443039535391505,-0.2968225795253977
SC,2022,13.620253164557,19.1632911392405,8.06708860759494,157.37,16.2029113924051,8.343714285714286,15.077836734693877,1.6094285714285714,13.02330612244898,421.342,4.2434264664775165,3.2887724350191516,4.974123916796027,-5.47327690219608,1.3297611579392548,-8.251862329416612,-1.9507804773086623,-3.6480033379550774,-0.1969387038719923,-0.21008629073593565
SM,2017,10.1793103448276,17.6706896551724,2.68620689655172,61.49,17.266724137931,7.553755102040816,14.436204081632653,0.6708571428571428,12.48195918367347,685.002,1.8601387692303664,2.1392235345935977,1.440090537131488,-6.338943738845375,3.2166203682051173,-4.9443347519864576,-5.280311758523382,-2.7454242889631284,-0.50477221816916,0.7202921065249956
SM,2018,13.3471074380165,21.3148760330578,5.37933884297521,205.01,20.3473553719008,7.553755102040816,14.436204081632653,0.6708571428571428,12.48195918367347,685.002,4.104442027478152,4.5494149195211175,3.364497863542749,-4.879845589332473,5.287614715649249,-8.78249495603706,-4.767889522719082,-0.3376721897577024,-0.09389780175103257,0.8046124775143677
SM,2021,12.8824427480916,19.9908396946565,5.77480916030534,296.43,17.2306870229008,7.553755102040816,14.436204081632653,0.6708571428571428,12.48195918367347,685.002,3.7752389734588823,3.6737239846360783,3.647085568559937,-3.950422841085055,3.19239394970271,-7.6116527560693354,-2.7683523138891313,-1.081590443156606,-0.05309220332507425,0.27100043967038734
SM,2022,12.5433333333333,19.9244444444444,5.16222222222222,223.69,17.7202222222222,7.553755102040816,14.436204081632653,0.6708571428571428,12.48195918367347,685.002,3.534988622171887,3.6298115050130777,3.209354772162625,-4.689935099972795,3.521490343808639,-7.421672085451226,-3.6438531489482746,-1.3548500058719957,-0.19281601171205442,0.3692435375970662
